id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1240979385466761218,Fri Mar 20 12:31:56 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Attack a fear today.
-
Want to condition yourself to grow? Find a way to make you palms sweat, your heart race and… https://t.co/07kaXquzrM",Attack fear today Want condition grow Find way make palms sweat heart race and…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Dickerhoof_Nut,False,,,Spokane WA,
1240979190217953281,Fri Mar 20 12:31:09 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#chaos,#fear,#uncertanity,#lockdown,#economiccrisis,#lies, #tear   &amp;
#hope,#courage,#sacrifice,#fight,#love,… https://t.co/vI2PNFtDhK",amp …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,AK41694949,,"chaos, fear, uncertanity, lockdown, economiccrisis, lies, tear, hope, courage, sacrifice, fight, love",,"Kolkata, India",
1240979064686546950,Fri Mar 20 12:30:39 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @RealJudgeLynn: #Fear can make you stupid. #Proximity can make you #crazy. #Courtesy is the grease that allows society's wheels to run a…,make stupid make grease allows society 's wheels run a…,"Sentiment(polarity=-0.7999999999999999, subjectivity=1.0)",-0.7999999999999999,1.0,en,0,40,Williams01Ron,,"Fear, Proximity, crazy, Courtesy",RealJudgeLynn,,
1240978993802874881,Fri Mar 20 12:30:23 +0000 2020,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",“Too many of us are not living our dreams because we are living our fears.” Les Brown Seeing talented people give i… https://t.co/0FzTBQXfh0,“ Too many us living dreams living fears. ” Les Brown Seeing talented people give i…,"Sentiment(polarity=0.6, subjectivity=0.7)",0.6,0.7,en,0,0,JimWebb01,False,,,"Bryan/College Station, TX",
1240978759869583360,Fri Mar 20 12:29:27 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Okay from today onward I'm gonna call my office depressing chamber. I lit worked alone since last year. My colleagu… https://t.co/e5UbED7hAd,Okay today onward I 'm gon na call office depressing chamber I lit worked alone since last year My colleagu…,"Sentiment(polarity=-0.033333333333333326, subjectivity=0.4888888888888889)",-0.033333333333333326,0.4888888888888889,en,0,0,Nur_skLectBel,False,,,,
1240978599492161536,Fri Mar 20 12:28:49 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Which is #Best #USMLE #Tutoring Service? 
 https://t.co/U991nAhrUQ

Get #ready for your #USMLE Steps 1, 2 CK, 2 CS… https://t.co/AB2dVsXZSz",Which Service Get Steps CK CS…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,BESTUSMLETUTOR,False,"Best, USMLE, Tutoring, ready, USMLE",,"Houston, TX",
1240978575542693889,Fri Mar 20 12:28:43 +0000 2020,"<a href=""http://pulpnews.com"" rel=""nofollow"">PulpNews</a>","Burgum urges 'facts not #fear' in briefing with business, civic leaders - Mar 20 @ 8:26 AM ET https://t.co/HEMBylbWv0",Burgum urges 'facts briefing business civic leaders Mar :26 AM ET,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,PulpNews,False,fear,,USA,
1240978449151463426,Fri Mar 20 12:28:13 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @BluePokerStar: Lets make another greedy person twitter famous! 🤬🤬 Taking advantage of people during #CoronaVirusChallenge #Disgusted ht…,Lets make another greedy person twitter famous 🤬🤬 Taking advantage people ht…,"Sentiment(polarity=0.5, subjectivity=1.0)",0.5,1.0,en,0,2,jmorley41,,"CoronaVirusChallenge, Disgusted",BluePokerStar,,
1240978305580400640,Fri Mar 20 12:27:38 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Absolutely DISGUSTING @SKY when people are losing their jobs, money is tight &amp; YOU PUT UP YOUR CHARGES. You fall in… https://t.co/O1AXPVFrmP",Absolutely DISGUSTING people losing jobs money tight amp YOU PUT UP YOUR CHARGES You fall in…,"Sentiment(polarity=-0.5892857142857143, subjectivity=0.6428571428571428)",-0.5892857142857143,0.6428571428571428,en,0,0,lapatka,False,,sky,Supporter of Our Armed Forces,
1240978138848538624,Fri Mar 20 12:26:59 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","We can practice every day together more #inspiration to counter #fear
I am inviting you to the daily practice of sk… https://t.co/HM47wOEb55",We practice every day together counter I inviting daily practice sk…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,FBanishoeib,False,"inspiration, fear",,World,
